Company Name,Website,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Primary SIC Code,Executive Ethnicity,Executive Gender,Random_number
First Baptist Church,Firstrobertsdale.Com,Jeff,Copeland,18200 State Highway 104,Robertsdale,AL,36567,866107,Western Europe,Male,0.001364829
Forest Memorial United Mthdst,Forestmemorialumc.Org,Linda,Rettenmayer,3111 Forestville Rd,District Heights,MD,20747,866107,Western Europe,Female,0.001368817
International Baptist Church,Firstb.Org,,,1025 Shelton Rd,Madison,AL,35758,866107,Uncoded,,0.001371624
Evergreen Baptist Church,Evergreenbaptist.Net,Roy,Banks,303 4th Ave,Decatur,GA,30030,866107,Western Europe,Male,0.001374303
GFBC,Gfbcfamily.Org,Brian,Early,6125 Caldwell Rd,Gladstone,OR,97027,866107,Western Europe,Male,0.001384455
Echo Lake Community Church,Echolakechurch.Com,Steve,Andersen,13306 Lost Lake Rd,Snohomish,WA,98296,866107,Scandinavian,Male,0.001386808
Russell Baptist Church,Russellbaptist.Org,Clay,Chancelor,1844 Highway 11 And 80,Meridian,MS,39301,866107,Western Europe,Male,0.001394424
Lifesong,Lifesong.Net,James,Byrd,2622 Oregon Ave,Stockton,CA,95204,866107,Western Europe,Male,0.001403141
St Paul Lutheran Church,Stpaul-Trenton.Org,,,103 N 6th St,Stickney,SD,57375,866107,Uncoded,,0.001404409
My Father's House Ministries,Mfhci.Org,Mark,Thomas,11130 Magnolia Ave # A,Riverside,CA,92505,866107,Western Europe,Male,0.001422551
Westside Community Church,Westsidecommunity.Org,Joe,Williams,201 E Sunset Rd,El Paso,TX,79922,866107,Western Europe,Male,0.001429444
Thanh Le Church,Thanhlechurch.Org,Linh,Doan,3700 W Orange Ave,Anaheim,CA,92804,866107,Far Eastern,Female,0.001431301
St Paul Lutheran Church,Stpaulbeloit.Net,Roger,Elliott,617 Saint Lawrence Ave,Beloit,WI,53511,866107,Western Europe,Male,0.001435386
Bible Way Missionary Bapt Chr,Biblewaymbc.Com,,,2306 S Fm 116,Copperas Cove,TX,76522,866107,Uncoded,,0.001443025
Immanuel Baptist Church,Immanuelbgc.Com,Todd,Dahlgren,206 N Sunny Ln,Monmouth,IL,61462,866107,Scandinavian,Male,0.001455061
Church Of Christ,Wentzvillecoc.Com,Michael E,Turpin,402 S Linn Ave,Wentzville,MO,63385,866107,Western Europe,Male,0.001473442
Mt Olivet Presbyterian Church,Mtolivetpresby.Com,,,4128 State Route 151,Aliquippa,PA,15001,866107,Uncoded,,0.00148066
Gloria Dei Lutheran Church,Gloriadeistpaul.Com,Bradley,Schmeling,700 Snelling Ave S,Saint Paul,MN,55116,866107,Western Europe,Male,0.001519249
Stratford Christian Ctr Church,Stratfordccc.Org,Odell,Townsend Sr,9152 S Ashland Ave,Chicago,IL,60620,866107,African American,Male,0.001524831
Hillcrest Christian Church,Hillcrestccokc.Com,Tom,Harrison,1501 SW 59th St,Oklahoma City,OK,73119,866107,Western Europe,Male,0.001529815
Vine Fellowship,Thevinefellowship.Com,David,Kerr,5229 Kelly Elliott Rd,Arlington,TX,76017,866107,Western Europe,Male,0.001534195
Harvest House Christian Fllshp,Hhcf4jesus.Org,Daniel,Langan,310 Market St # 2,Lewisburg,PA,17837,866107,Western Europe,Male,0.001537275
Crossbridge Church,Crossbridgemiami.Com,,,1770 Brickell Ave,Miami,FL,33129,866107,Uncoded,,0.001576592
Martin Luthern Church,Saintpaulporthuron.Com,Bill,Austin,805 Chestnut St,Port Huron,MI,48060,866107,Western Europe,Male,0.001579796
Victory Life Fellowship,Victoryinthecity.Org,Lori,Bailey,1900 Chamberlayne Ave,Richmond,VA,23222,866107,Western Europe,Female,0.001591541
College Heights Baptist Church,Collegeheightschurch.Org,Mike,Cooper,1927 S Walnut St,Casper,WY,82601,822101,Western Europe,Male,0.001600204
Calvary Baptist Church,Calvarybaptistsd.Com,,,350 21st St SE,Huron,SD,57350,866107,Uncoded,,0.001606907
Grace & Peace Presbyterian Msn,Graceandpeace-Pca.Org,Matt,Wood,1221 S Ferguson Pkwy,Anna,TX,75409,866107,Western Europe,Male,0.001607025
Windsor Assembly Of God,Windsorassembly.Org,,,416 Oak St,Windsor,CO,80550,866107,Uncoded,,0.001611371
Assurance Church,Assurancechurchok.Com,Jarrod,Vanderslice,1218 Commercial,Mounds,OK,74047,866107,Western Europe,Male,0.001613321
New Hope Baptist Church,Newhopebaptistofhaleyville.Com,,,23822 State Highway 129,Haleyville,AL,35565,866107,Uncoded,,0.00161544
Faith Lutheran Lcms Church,Faithlutheranwatertown.Com,Neil,Rand,626 Milford St,Watertown,WI,53094,866107,Western Europe,Male,0.001625712
Hayden United Methodist,Haydenunitedmethodist.Org,,,Hayden Blount Springs Rd,Hayden,AL,35079,866107,Uncoded,,0.001633776
Okc Restoration Church,Okcrestorationchurch.Com,Peter,Basquec,1501 Linwood Blvd,Oklahoma City,OK,73106,866107,Uncoded,Male,0.001637738
Bethel Chinese Lutheran Church,Seattlebclc.Org,Isaiah,Chow,6553 40th Ave NE,Seattle,WA,98115,866107,Far Eastern,Male,0.001645964
Little Country Church,Ourlittlecountrychurch.Com,Cameron,Ury,7886 Ravenna Ave SE,Waynesburg,OH,44688,866107,Not Available,Male,0.001647564
Fairview Community Christian,Forministry.Com,Danny,Bradfield,1991 Pacific Ave,Trowbridge,CA,95659,866107,Western Europe,Male,0.001651891
Calvary Missionary Baptist Chr,Calvarymbcexperience.Org,Stanford,Anderson,200 Daniel Siding Loop Rd,Richmond Hill,GA,31324,866107,Scandinavian,Male,0.001658338
Modesto Christian Reformed Chr,Modestochristianreformedchurch.Com,James,Vanderslik,2620 College Ave,Modesto,CA,95350,866107,Western Europe,Male,0.001681127
Lutheran Church Spirit-Peace,Spiritofpeacelutheran.Org,Colette,Hammesfahr,15985 GA Highway 144,Richmond Hill,GA,31324,866107,Western Europe,Female,0.00170213
Cedar Square Friends Meeting,Cedarsquarefriendsmeeting.Com,,,7546 Harlow Rd,Archdale,NC,27263,866107,Uncoded,,0.001707492
Bal Perazim Christian Academy,Bpacademy.Org,Morris,Braxton,4921 Bragg Blvd,Fayetteville,NC,28303,821101,Western Europe,Male,0.001713808
Jonesville First,Fbcjonesville.Com,Roger,Hensley,134 Winston Rd,Jonesville,NC,28642,866107,Western Europe,Male,0.001717534
Eastern Star Church,Easternstarchurch.Org,Jeffrey A,Johnson Sr,5805 Cooper Rd,Indianapolis,IN,46228,866107,Western Europe,Male,0.001722406
Church-The Saviour United,Saviour-Umc.Org,Rebecca,Piatt,11239 Fancher Rd,Westerville,OH,43082,866107,Western Europe,Female,0.001729261
Christ United Presbyterian Chr,Cupc.Org,Grace K,Suzuki,1700 Sutter St,San Francisco,CA,94115,866107,Far Eastern,Female,0.001738439
Woodland Bible Church,Woodlandbible.Com,Verl,Taylor,433 California St,Woodland,CA,95695,866107,Western Europe,Male,0.001741423
Bridges Of Hope Fellowship,Gethope.Info,Jamie,English Jr,4023 Smithville Hwy,Mcminnville,TN,37110,866107,Western Europe,Male,0.001760173
Mountain View Community Church,Mvcommunity.Net,Jon,Strutz,1678 Beavercreek Rd # P,Oregon City,OR,97045,866107,Western Europe,Male,0.001761104
Morning Star Church,Morningstarbaptistchurch.Org,John M,Miles,2411 E 27th St,Kansas City,MO,64127,866107,Western Europe,Male,0.001779083
Calvary Baptist Church,Baptistwakefield.Org,,,212 Smith St,Wakefield,MI,49968,866107,Uncoded,,0.00178356
Canyon View Church,Canyonviewchurch.Org,Jim,Smith,195 Skalkaho Hwy,Hamilton,MT,59840,866107,Western Europe,Male,0.001797313
Church Of The Living God,Cotlgministries.Org,Rex,Waddell,8901 Pleasant View Dr,Fairview Heights,IL,62208,866107,Western Europe,Male,0.001797625
Old Baptist Union In America,Obu-Usa.Org,,,PO Box 4032,Walnut Creek,CA,94596,866107,Uncoded,,0.001803375
Jesus Loves Me Learning Ctr,Stpaulsnorthmankato.Com,,,304 Monroe Ave,North Mankato,MN,56003,821101,Uncoded,,0.001812201
Calvary Evangelical Lutheran,Calvarytr.Org,Kay,Richter,1921 Adams St,Two Rivers,WI,54241,866107,Western Europe,Female,0.001813193
Assembly Of God,Ag.Org,Roy,Sword,215 2nd Ave N,Dallas,WI,54733,866107,Western Europe,Male,0.001813275
St Bede Episcopal Church,Stbedeschurch.Org,Mike,Morrissey,1578 SE Lider Rd,Port Orchard,WA,98367,866107,Western Europe,Male,0.001818705
Harmony Grove Baptist Church,Hgbclife.Com,Brian,Mashburn,1008 Town Creek School Rd,Blairsville,GA,30512,866107,Western Europe,Male,0.001823056
IFGF,Ifgfla.Com,Daniel,Hanafi,147 W Palm Ave,Monrovia,CA,91016,866107,Middle Eastern,Male,0.001827192
Ann Hope United Methodist Chr,Annhopeumc.Org,James L,Morgan,702 Goddard Ave,Seneca,SC,29678,866107,Western Europe,Male,0.001829069
St Stephen's Episcopal Church,Ststephensnewharmony.Org,Beth,Macke,512 Granary,New Harmony,IN,47631,866107,Western Europe,Female,0.001830054
New Life Church,Newlifemn.Org,Jay,Snyder,17261 Saint Francis Blvd,Ramsey,MN,55303,866107,Western Europe,Male,0.001844509
Sandbridge Community Chapel,Sccumc.Org,Frank,Holley,3041 Sandpiper Rd,Virginia Beach,VA,23456,866107,Western Europe,Male,0.001849249
Wells Chapel Baptist Church,Wellschapel.Com,,,8565 S NC 41 Hwy,Wallace,NC,28466,866107,Uncoded,,0.001870335
Calvary United Methodist Chr,Umc.Org,Charles E,Hicks,342 Church St S,Ripley,WV,25271,866107,Western Europe,Male,0.001880361
St George Episcopal Church,Saintge.Org,,,423 N Business Highway 5,Camdenton,MO,65020,866107,Uncoded,,0.001880972
St Luke United Methodist Chr,Umc.Org,Timothy F,Jones,1490 Belmar Dr,Louisville,KY,40213,866107,Western Europe,Male,0.001885267
St John's Lutheran Church,Lutheransonline.Com,Cyndi,Miller,51161 Maria St,New Baltimore,MI,48047,866107,Western Europe,Female,0.001890902
First Presbyterian Church,Pineplainspresbyterianchurch.Com,Carol,Miller,3039 Route 199,Pine Plains,NY,12567,866107,Western Europe,Female,0.001897136
New Beginners Church,Newbeginnersministries.Org,Howard R,Terrell,7000 Burlington Rd,Whitsett,NC,27377,866107,Western Europe,Male,0.001901557
West Austintown,Wafumc.Org,George L,Lee,6749 Mahoning Ave,Youngstown,OH,44515,866107,Western Europe,Male,0.001904401
Korean Presbyterian Church,Koreanpresbyterian.Com,,,5748 Whitesville Rd,Columbus,GA,31904,866107,Uncoded,,0.001911686
Restoration Fellowship,Restorationfellowship1.Com,Steve,Singleton,220 S 42nd St,Springfield,OR,97478,866107,Western Europe,Male,0.001913456
Hope Community Church,Discoverhope.Us,Drew,Koen,5044 Durfee Ave,Pico Rivera,CA,90660,866107,Western Europe,Male,0.001928176
Spencer Presbyterian Church,Spencerpreschurch.Org,Barrie,Kirby,113 1st St,Spencer,NC,28159,866107,Western Europe,Male,0.001943002
Edgewood Baptist Church,Edgewoodga.Com,Walter A,Merritt Jr,3564 Forrest Rd,Columbus,GA,31907,866107,Western Europe,Male,0.00197484
Rossville United Methodist Chr,Rossinumc.Com,Rick,Jones,110 W Main St,Rossville,IN,46065,866107,Western Europe,Male,0.001981204
Bethel Baptist Church,Bbctullahoma.Com,Jim,Rolen,408 Westside Dr,Tullahoma,TN,37388,866107,Western Europe,Male,0.001985739
Brookstone Full Gospel Bapt,Brookstone.Com,Freddie J,Clark,506 Manchester Expy # A5,Columbus,GA,31904,866107,Western Europe,Male,0.002032551
River Of God Church,Theriverofgod.Org,Dennis L,Mcgrane,2490 7th Ave E,Saint Paul,MN,55109,866107,Western Europe,Male,0.002032657
New Song Episcopal Church,Newsongepiscopal.Org,Elizabeth,Coulter,912 20th Ave,Coralville,IA,52241,866107,Western Europe,Female,0.00203465
Loganville Baptist Church,Loganvillesda.Com,Howard,Neese,132 Church St,Loganville,GA,30052,866107,Western Europe,Male,0.002043232
Christ Community Church,Pentecostalpublishing.Com,David,Meeks,510 W Burke St,Easton,PA,18042,866107,Western Europe,Male,0.002055648
North Highland Church,Northdenverchurch.Com,,,2945 Julian Street,Denver,CO,80211,866107,Uncoded,,0.002060696
Strictly Biblical,Strictlybiblical.Org,Emery,Moss Jr,10709 Grand River Ave,Detroit,MI,48204,866107,Western Europe,Male,0.002068789
Celebration Center Marietta,Mariettacelebrationcenter.Com,Gordon,Deer,822 Front St,Marietta,OH,45750,866107,Western Europe,Male,0.002072349
Oswego Presbyterian Church,Opchurch.Org,Terrance P,Hennesy,1976 State Route 25,Oswego,IL,60543,866107,Western Europe,Male,0.002076893
Wimberley Church Of Christ,Wimberleychurchofchrist.Org,,,17 Par View Dr,Wimberley,TX,78676,866107,Uncoded,,0.002090893
St Peters Igbo Church Church,Stpetersigbochurch.Org,,,2200 Genesee St,Trenton,NJ,8610,866107,Uncoded,,0.002092049
Word Of Life Community Church,Powerintheword.Org,Henry W,Roberts Ii,351 S Craft Hwy,Chickasaw,AL,36611,866107,Western Europe,Male,0.002097599
Front Range Alliance Church,Frontrangealliance.Org,Douglas,Goodin,5210 Centennial Blvd,Colorado Springs,CO,80919,866107,Western Europe,Male,0.002106558
Gateway Christian Fellowship,Gatewaymt3004.Com,Phillip W,Masters,300 E 4th St,Anaconda,MT,59711,866107,Western Europe,Male,0.002120924
Iranian Church On The Way,Iranianchurch.Org,David,Hegwood,14800 Sherman Way,Van Nuys,CA,91405,866107,Western Europe,Male,0.002123417
Spring Branch Baptist Church,Springbranchbaptis.Wixsite.Com,,,100 Spring Branch Rd,Campton,KY,41301,866107,Uncoded,,0.002144943
Here's Hope,Hereshopechurch.Org,Bob,Higgins,6601 Chapel Rd,Madison,OH,44057,866107,Western Europe,Male,0.002154028
St Paul Evangelical Lutheran,Stpaulgj.Org,Dennis K,Strong,632 26 1/2 Rd,Grand Junction,CO,81506,866107,Western Europe,Male,0.002170097
Grace Lutheran Communities,Graceluthfound.Com,Anita,Raffesberger,3410 Sky Park Blvd # 1,Eau Claire,WI,54701,866104,Uncoded,Female,0.002182253
Burnside Christian Church,Burnsidechristian.Org,Mark,Nichols,2088 E County Road 2110,Burnside,IL,62330,866107,Western Europe,Male,0.002184367
Unionville Presbyterian Church,Orphanwalk.Com,Tim,Chiarot,38 Main St,Unionville,NY,10988,866107,Uncoded,Male,0.002188798
Remington Baptist Church,Remingtonbaptist.Org,Joseph B,Anderson Jr,203 E Marshall St,Remington,VA,22734,866107,Scandinavian,Male,0.002189999
Covenant United Methodist Chr,Covenantcharlotte.Com,David,Lee,6824 Tuckaseegee Rd,Charlotte,NC,28214,866107,Western Europe,Male,0.002204939
First Christian Church,Fcc-Charlotte.Org,Jolin,Mc Elroy,1200 East Blvd,Charlotte,NC,28203,866107,Western Europe,Female,0.002205502
Faith Church,Fepcb.Com,Matthew,Everhard,200 MT Fair Ave,Brooksville,FL,34601,866107,Western Europe,Male,0.002212719
First Presbyterian Church,Fpcg.Org,Stephen W,Plunkett,1 W Putnam Ave,Greenwich,CT,6830,866107,Western Europe,Male,0.002223743
Dupo First Baptist Church,Fbcdupo.Org,Roger,Reid,620 Godin Ave,Dupo,IL,62239,866107,Western Europe,Male,0.002225111
Crenshaw United Methodist Chr,Crenshawumc.Org,Scott D,Hopkins,200 Church St,Blackstone,VA,23824,866107,Western Europe,Male,0.00223282
Bible Baptist Church,Columbiabbc.Com,Jeff,Hastings,4275 E Broadway,Columbia,MO,65201,866107,Western Europe,Male,0.002239261
First Baptist Chr-Lake Monroe,Freesites.Ourchurch.Com,Gene,Gregory,691 Monroe Rd,Sanford,FL,32771,866107,Western Europe,Male,0.002256479
Newry Church Of God,Newrycog.Com,Jimmy Wayne,Perdue Jr,234 Newry Rd,Seneca,SC,29672,866107,Western Europe,Male,0.00226766
St Stephens Lutheran Church,Aflc.Org,,,6874 Midway Rd,Metropolis,IL,62960,866107,Uncoded,,0.002276034
Dogwood Grove Baptist Church,Dogwoodgrovebaptist.Com,Todd,Burr,56 Church Dr,Montevallo,AL,35115,866107,Western Europe,Male,0.002279335
Mt Vernon Baptist Temple,Mvbt.Org,Bill,Fennell,1481 Yauger Rd,Mount Vernon,OH,43050,866107,Western Europe,Male,0.002282567
First Baptist Chr Of Salisbury,Fbcsalisbury.Org,Kenneth,Lance,223 N Fulton St,Salisbury,NC,28144,866107,Western Europe,Male,0.002292538
Trinity Lutheran Church,Trinityhawthorne.Org,David,Elseroad,292 Elwood Ave,Hawthorne,NY,10532,866107,Western Europe,Male,0.002302152
Church Of Christ,Fertilecofc.Org,Rob,Perry,3493 Eagle Ave,Fertile,IA,50434,866107,Western Europe,Male,0.002307679
Lutheran Church West Prairie,Willistongoodshepherd.Com,,,15051 58th St NW,Williston,ND,58801,866107,Uncoded,,0.002317554
Fellowship Baptist Church,Fbcwartburg.Com,Bret,Pallotta,1822 Morgan County Hwy # 27,Wartburg,TN,37887,866107,Mediterranean,Male,0.002346786
Line Creek Baptist Church,Lcbc.Faithweb.Com,John,Floyd,1488 Bob Smith Rd,Sharpsburg,GA,30277,866107,Western Europe,Male,0.002354613
Alliance Community Church,Allianceduluth.Org,Mike,Hardesty,2621 W Arrowhead Rd,Duluth,MN,55811,866107,Western Europe,Male,0.002360371
Greater New Jerusalem Baptist,Greaternew.Net,Burdette,Williams,207 W 6th St,Jacksonville,FL,32206,866107,Western Europe,Male,0.002382525
Sand Hill Creek Fwb Church,Sandhillcreekchurch.Com,Alan,Carter,6822 County Farm Rd,Baxley,GA,31513,866107,Western Europe,Male,0.002394313
Crossroads Baptist Church,Crossroadsbcnc.Org,Chris,Huffman,2288 Zion Church Rd,Hickory,NC,28602,866107,Not Available,Male,0.002403301
Church Of Christ Central,Shawneecentralcofc.Org,Jimmy,Hyde,301 N Bell Ave,Shawnee,OK,74801,866107,Western Europe,Male,0.002406758
Wheelwright First Baptist,Thewbc.Org,Charles,Wilson,1369 KY Route 306,Wheelwright,KY,41669,866110,Western Europe,Male,0.00240754
First Presbyterian Church,Fpcp.Org,Thomas M,Hall,320 6th Ave,Pittsburgh,PA,15222,866107,Western Europe,Male,0.002414193
Grace Emmanuel Church,Graceemmanuel.Church,Samuel E,Chess,707 Kitterman Rd,Port Saint Lucie,FL,34952,866107,Western Europe,Male,0.002415109
Everlasting Ministries,Everlastingstrengthministry.Org,Frank,Adu,239 2nd St,South Amboy,NJ,8879,866107,African American,Male,0.002420325
First Baptist Church-Sheldon,1baptistoceanside.Org,Tim,Flatt,10910 Sheldon Rd,Houston,TX,77044,866107,Western Europe,Male,0.002429355
Spring Ridge United Mthdst Chr,Springridgeumc.Com,Davis Roy,Carothers Jr,1083 Davis Rd,Terry,MS,39170,866107,Western Europe,Male,0.002438414
St John's Episcopal Church,Stjohnsrandolphvt.Org,Timothy,Eberhardt,15 Summer St,Randolph,VT,5060,866107,Western Europe,Male,0.002455802
Hanover Fellowship Church,Hanoverfellowship.Org,John,Harling,200 South St,Hanover,PA,17331,866107,Western Europe,Male,0.002459655
Old St Andrew's Episcopal Chr,Oldstandrews.Net,Erl G,Purnell,59 Tariffville Rd,Bloomfield,CT,6002,866107,Western Europe,Male,0.002484043
Trinity Lutheran Church,Trinitydekalb.Weebly.Com,Todd,Peterson,303 S 7th St,Dekalb,IL,60115,866107,Scandinavian,Male,0.002488442
Nazareth Lutheran Church,Lutheransonline.Com,John,Syvertson,401 N Central Ave,Kenmare,ND,58746,866107,Uncoded,Male,0.002497765
Burbank Seventh-Day Adventist,Burbankil.Adventistchurch.Org,Matt,Healy,8351 New Castle Ave,Burbank,IL,60459,866107,Western Europe,Male,0.002509572
Bible Church Of Reconciliation,Bcor1.Org,Beatrice,Arowolaju,16299 Wallace St,Harvey,IL,60426,866107,Uncoded,Female,0.002510727
Trinity United Methodist Chr,Trinitywilmette.Com,Kirk,Reed,1024 Lake Ave,Wilmette,IL,60091,866107,Western Europe,Male,0.002511636
Holy Trinity Episcopal Church,Holytrinitybartow.Org,Wallace,Reynolds,500 W Stuart St,Bartow,FL,33830,866107,Western Europe,Male,0.002516757
Lassen Street Church Of Christ,Vchurchofchrist.Org,Stan,Williams,1109 Lassen St,Vallejo,CA,94591,866107,Western Europe,Male,0.00251912
Beautiful Savior Lutheran Chr,Beautifulsaviorploverwi.Com,David,Ficken,3210 Maple Dr,Plover,WI,54467,866107,Western Europe,Male,0.002525872
Dakota Creek Church,Dakotacreekcenter.Com,,,8732 Blaine Rd,Blaine,WA,98230,866107,Uncoded,,0.00252623
First Assembly Of God,Capefirst.Org,Jim R,Mannon,226 N Second St,Brookhaven,MS,39601,866107,Western Europe,Male,0.002540131
Prince Of Peace Lutheran Chr,Popamarillo.Org,Joseph,Andrajack Jr,6900 Hillside Rd,Amarillo,TX,79109,866107,Uncoded,Male,0.00254072
Scott's Grove Baptist Church,Scottsgrovebaptistchurch.Org,Trenton,Woodward,40787 Highway 25,Vincent,AL,35178,866107,African American,Male,0.002553008
Mana Christian Ohana,Manachristianohana.Com,William,Mitchell,67-1185 Mamalahoa Hwy # H145,Kamuela,HI,96743,866107,Western Europe,Male,0.002560141
Mt Zion United Methodist Chr,Mzumchurch.Net,Harry,Kaufhold,753 Mount Zion Rd,Narvon,PA,17555,866107,Western Europe,Male,0.002562939
Praise Baptist,Praisebaptist.Org,Albert,Dines,143 Burr Oak St,Kalamazoo,MI,49001,866107,Western Europe,Male,0.002569522
Freedom Baptist Church,Freedom-Baptist.Com,Jim,Carrigan,1907 W Parker Rd,Greenville,SC,29617,866107,Western Europe,Male,0.002573795
Faith Alliance Church,Faithalliance.Weebly.Com,Gregg,Marston,3305 Oak Orchard Rd,Albion,NY,14411,866107,Western Europe,Male,0.002586261
Van Buren United Methodist Chr,Vbumc.Com,Charles J,Fuerstenau,201 S Main St,Van Buren,OH,45889,866107,Western Europe,Male,0.002594683
First Presbyterian Church,Firstprescheyenne.Org,Robert L,Garrard,220 W 22nd St,Cheyenne,WY,82001,866107,Western Europe,Male,0.002622399
Silver Creek United Mthdst Chr,Silvercreekumc.Org,Thomas A,Bowen,36 Reeceburg Rd SE,Silver Creek,GA,30173,866107,Western Europe,Male,0.002631715
Clarion Lighthouse Chr-Nzrn,Nazarene.Org,Dana,Wendel,1010 2nd St SW,Clarion,IA,50525,866107,Western Europe,Female,0.002646753
University Park United Mthdst,Upumc.Com,George,O'Reilly,PO Box 12038,Dallas,TX,75225,822101,Western Europe,Male,0.002654793
First Apostolic Church,Factyler.Com,Kevin,Prince,400 Mcmurrey Dr,Tyler,TX,75702,866107,Western Europe,Male,0.002673177
St James United Methodist Chr,Saintjamesumc.Org,Kim,Joiner,2049 N Honore Ave # A,Sarasota,FL,34235,866107,Western Europe,Female,0.002679726
New York Baptist Church Athens,Newyorkbc.Com,Charles,Grasty,6106 County Road 4334,Larue,TX,75770,866107,Western Europe,Male,0.002681818
Foothill Christian Fellowship,Fcfmv.Org,Alan,Olender,1100 Sugar Pine Rd,Meadow Vista,CA,95722,866107,Scandinavian,Male,0.002694573
First United Mthdst Chr Altmnt,Fumcseffner.Org,,,101 W Monroe Ave,Altamont,IL,62411,866107,Uncoded,,0.002711366
Christway Community Church,Christwaychurch.Org,John,Waters,6201 Mountain View Rd,Ooltewah,TN,37363,866107,Western Europe,Male,0.002721727
Fellowship Bible Church,Fbcchester.Net,Terry,Wragg,48 Rod Gun Club Rd,Chester,NH,3036,866107,Western Europe,Male,0.002724791
Owosso Church Of Christ,Owossocc.Org,Steve,Lockwood,2005 S M 52,Owosso,MI,48867,866107,Western Europe,Male,0.002732968
Morris Park Sda Church,Morrisparkny.Adventistchurch.Org,Bill A,Jamel,800 Morris Park Ave,Bronx,NY,10462,866107,Uncoded,Male,0.002744922
Highland Baptist Church,Highland-Baptist.Com,J Brian,Ivey Sr,3518 Halls Ferry Rd,Vicksburg,MS,39180,866107,Western Europe,Male,0.002758692
Lifebuilder Community Church,Lifebuildercc.Org,Bobby,Hopper,637 E Washington St,Greencastle,IN,46135,866107,Western Europe,Male,0.002768907
Hughlett Temple AME Zion Chr,Hughletttemple.Com,Michael,Mc Nair,2115 W Jefferson St,Louisville,KY,40212,866107,Western Europe,Male,0.002780539
First Baptist Of West Point,Fbcwestpoint.Com,Joseph R,Downs,301 E 8th St,West Point,GA,31833,866107,Western Europe,Male,0.002781156
Victory Lighthouse,Vlbcnow.Com,,,217 W Main St,Trumann,AR,72472,866107,Uncoded,,0.002783105
First Presbyterian Church,Facesofchildren.Net,Steve,Schorr,800 W Texas Ave,Midland,TX,79701,866107,Not Available,Male,0.002792268
Crooked Creek Church Of Christ,Church-Of-Christ.Org,Tim,Secrist,PO Box 280,Peach Creek,WV,25639,866107,Western Europe,Male,0.002809218
Zion Assembly Church Of God,Zionassemblychurchofgod.Com,Wade,Phillips,5512 Waterlevel Hwy,Cleveland,TN,37323,866107,Western Europe,Male,0.002812561
Ware Place Church Of God,Wareplacechurch.Org,Martin A,Foster,2027 Highway 418,Pelzer,SC,29669,866107,Western Europe,Male,0.002813852
Great Island Presbyterian Chr,Greatislandpresby.Org,Taylor,Camerer,12 W Water St,Lock Haven,PA,17745,866107,Western Europe,Male,0.002816361
Redeeming Grace Lutheran Chr,Rglcms.Org,Steven,Fick,1010 W Fm 1626,Austin,TX,78748,866107,Western Europe,Male,0.002822021
Hebron Baptist Church,Hebronofbush.Com,Matt,Smith,79614 Highway 41,Bush,LA,70431,866107,Western Europe,Male,0.002840484
Greater Love Baptist Church,Greaterlovebaptist.Com,Keith,Truelove,6216 Spout Springs Rd,Flowery Branch,GA,30542,866107,Western Europe,Male,0.00284545
Parish Of The Messiah,Parishofthemessiah.Org,James,LA Macchia,11 Homer St,Newton Center,MA,2459,866107,Hispanic,Male,0.002847959
Calvary Lutheran Church,Calvaryrapidcity.Org,Dwight,Stensgaard,5311 Sheridan Lake Rd,Rapid City,SD,57702,866107,Scandinavian,Male,0.002850072
First Baptist Church-Harvester,Fbch.Com,Bob,Ingle,4075 S Old Highway 94,Saint Charles,MO,63304,866107,Western Europe,Male,0.002850115
Washington Christian Ctr,Wcc4him.Org,A Lorenzo,Mc Kinney,2200 Culbera Dr,Temple Hills,MD,20748,866107,Western Europe,Male,0.002867301
First Christian Church,Fccdc.Com,Phil,Scott,711 5th Ave,Dodge City,KS,67801,866107,Western Europe,Male,0.002879047
Athol Baptist Church Inc,Atholbaptistchurch.Org,Chris,Antone,29145 N Sylvan Rd,Athol,ID,83801,866107,Mediterranean,Male,0.002883541
Trinity United Methodist Chr,Montellotumc.Org,Sue,Bryce,E Park St,Montello,WI,53949,866107,Western Europe,Female,0.002884921
True Vine Church,Truevinechurch.Tv,Junior,Avila,11000 Hull Street Rd,Midlothian,VA,23112,866107,Hispanic,Male,0.002888662
Olive Branch Missionary Church,Olivebranchchurch.Org,Vincent,Windrow,5988 Cane Ridge Rd,Antioch,TN,37013,866104,Western Europe,Male,0.002890153
Kaneohe Seventh-Day Adventist,Kaneohesda.Com,Paul,Kalaiwaa,45-566 Mahinui Rd,Kaneohe,HI,96744,866107,Uncoded,Male,0.002903021
Calvary Assembly Of God,Calvaryassembly.Org,David J,Saglimbene,3006 W Jolly Rd,Lansing,MI,48911,866107,Uncoded,Male,0.002903651
First Corinth Missionary Bapt,Firstcorinth.Org,E L,Jones,2165 Donald Lee Hollowell Pkwy,Atlanta,GA,30318,866107,Western Europe,Male,0.002904985
Belmont Church,Belmont.Org,Phil,Bennett,68 Music Sq E,Nashville,TN,37203,866107,Western Europe,Male,0.002909213
St John Lutheran Church,Stjohnsevanston.Com,Michael,Mueller,12308 E County Road 1160 N,Evanston,IN,47531,866107,Western Europe,Male,0.002917037
Rockford Three Angels Fllwshp,Grand22.Adventistchurchconnect.Org,Frank,Lugo,5439 Kies St NE,Rockford,MI,49341,866107,Hispanic,Male,0.00292117
